ar4 forcings: atmospheric co2 concentrations, BERN
12  14
Year        A1B        A1T      A1FI       A2        B1        B2        A1p       A2p       B1p      B2p      IS92a     IS92a/SAR
1970       325.00    325.00    325.00    325.00    325.00    325.00    325.00    325.00    325.00    325.00    325.00    325.00
1980       337.00    337.00    337.00    337.00    337.00    337.00    337.00    337.00    337.00    337.00    337.00    337.00
1990       352.00    352.00    352.00    352.00    352.00    352.00    352.00    352.00    352.00    352.00    352.00    353.00
2000       367.00    367.00    367.00    367.00    367.00    367.00    367.00    367.00    367.00    367.00    367.00    370.00
2010       388.00    386.00    386.00    386.00    386.00    385.00    390.00    388.00    385.00    387.00    387.00    391.00
2020       418.00    410.00    415.00    414.00    410.00    406.00    421.00    416.00    407.00    412.00    413.00    416.00
2030       447.00    435.00    449.00    444.00    432.00    425.00    454.00    447.00    425.00    433.00    439.00    444.00
2040       483.00    466.00    495.00    481.00    457.00    448.00    490.00    484.00    445.00    457.00    468.00    475.00
2050       522.00    496.00    555.00    522.00    482.00    473.00    529.00    525.00    467.00    481.00    499.00    507.00
2060       563.00    523.00    625.00    568.00    503.00    499.00    569.00    571.00    492.00    506.00    533.00    541.00
2070       601.00    545.00    702.00    620.00    518.00    524.00    606.00    622.00    515.00    532.00    568.00    577.00
2080       639.00    563.00    786.00    682.00    530.00    552.00    642.00    683.00    537.00    559.00    607.00    616.00
2090       674.00    572.00    872.00    754.00    538.00    581.00    674.00    754.00    555.00    588.00    653.00    660.00
2100       703.00    575.00    958.00    836.00    540.00    611.00    702.00    836.00    569.00    618.00    703.00    709.00
