ar4 forcings: atmospheric co2 concentration, ISAMS
12  14
Year        A1B        A1T      A1FI       A2        B1        B2       A1p       A2p       B1p       B2p       IS92a   IS92a/SAR
1970       325.00    325.00    325.00    325.00    325.00    325.00    325.00    325.00    325.00    325.00    325.00    326.00
1980       337.00    337.00    337.00    337.00    337.00    337.00    337.00    337.00    337.00    337.00    337.00    338.00
1990       353.00    353.00    353.00    353.00    353.00    353.00    353.00    353.00    353.00    353.00    353.00    354.00
2000       369.00    369.00    369.00    369.00    369.00    369.00    369.00    369.00    369.00    369.00    369.00    372.00
2010       391.00    389.00    389.00    390.00    388.00    388.00    393.00    391.00    388.00    390.00    390.00    393.00
2020       420.00    412.00    417.00    417.00    412.00    408.00    425.00    419.00    409.00    414.00    415.00    418.00
2030       454.00    440.00    455.00    451.00    437.00    429.00    461.00    453.00    429.00    438.00    444.00    446.00
2040       491.00    471.00    504.00    490.00    463.00    453.00    499.00    492.00    450.00    462.00    475.00    476.00
2050       532.00    501.00    567.00    532.00    488.00    478.00    538.00    535.00    472.00    486.00    508.00    509.00
2060       572.00    528.00    638.00    580.00    509.00    504.00    577.00    583.00    497.00    512.00    543.00    544.00
2070       611.00    550.00    716.00    635.00    525.00    531.00    615.00    637.00    522.00    539.00    582.00    580.00
2080       649.00    567.00    799.00    698.00    537.00    559.00    652.00    699.00    544.00    567.00    623.00    620.00
2090       685.00    577.00    885.00    771.00    545.00    589.00    685.00    771.00    563.00    597.00    670.00    664.00
2100       717.00    582.00    970.00    856.00    549.00    621.00    715.00    856.00    578.00    630.00    723.00    715.00
