Annual mean carbon dioxide concentration measured at Mauna Loa.
Evaluated from data obtained from ftp://ftp.cmdl.noaa.gov/ccg/co2/trends/co2_mm_mlo.txt
Year,   CO2 [ppmv]
1958      315.28
1959      316.02
1960      316.95
1961      317.71
1962      318.50
1963      319.02
1964      319.15
1965      320.09
1966      321.44
1967      322.17
1968      323.09
1969      324.68
1970      325.74
1971      326.33
1972      327.52
1973      329.78
1974      330.24
1975      331.18
1976      332.09
1977      333.88
1978      335.43
1979      336.83
1980      338.78
1981      340.17
1982      340.99
1983      342.97
1984      344.23
1985      345.94
1986      347.26
1987      349.06
1988      351.56
1989      352.91
1990      354.21
1991      355.54
1992      356.29
1993      356.97
1994      358.69
1995      360.71
1996      362.41
1997      363.53
1998      366.64
1999      368.16
2000      369.45
2001      371.12
2002      373.24
2003      375.88
2004      377.60
2005      379.87
2006      381.89
2007      383.79
