IPCC AR4 multi-model average of 
detrended globally averaged TAS anomalies relative to 1980-1999 
Generated by hteng@ucar.edu
Original file name: tas.ave.dat
year     20C3M    commit      B1      A1B       A2
1900    -0.614  -999.999  -999.999  -999.999  -999.999
1901    -0.601  -999.999  -999.999  -999.999  -999.999
1902    -0.599  -999.999  -999.999  -999.999  -999.999
1903    -0.705  -999.999  -999.999  -999.999  -999.999
1904    -0.691  -999.999  -999.999  -999.999  -999.999
1905    -0.651  -999.999  -999.999  -999.999  -999.999
1906    -0.609  -999.999  -999.999  -999.999  -999.999
1907    -0.602  -999.999  -999.999  -999.999  -999.999
1908    -0.606  -999.999  -999.999  -999.999  -999.999
1909    -0.597  -999.999  -999.999  -999.999  -999.999
1910    -0.567  -999.999  -999.999  -999.999  -999.999
1911    -0.570  -999.999  -999.999  -999.999  -999.999
1912    -0.587  -999.999  -999.999  -999.999  -999.999
1913    -0.622  -999.999  -999.999  -999.999  -999.999
1914    -0.639  -999.999  -999.999  -999.999  -999.999
1915    -0.571  -999.999  -999.999  -999.999  -999.999
1916    -0.523  -999.999  -999.999  -999.999  -999.999
1917    -0.532  -999.999  -999.999  -999.999  -999.999
1918    -0.531  -999.999  -999.999  -999.999  -999.999
1919    -0.498  -999.999  -999.999  -999.999  -999.999
1920    -0.525  -999.999  -999.999  -999.999  -999.999
1921    -0.553  -999.999  -999.999  -999.999  -999.999
1922    -0.495  -999.999  -999.999  -999.999  -999.999
1923    -0.472  -999.999  -999.999  -999.999  -999.999
1924    -0.523  -999.999  -999.999  -999.999  -999.999
1925    -0.505  -999.999  -999.999  -999.999  -999.999
1926    -0.511  -999.999  -999.999  -999.999  -999.999
1927    -0.482  -999.999  -999.999  -999.999  -999.999
1928    -0.483  -999.999  -999.999  -999.999  -999.999
1929    -0.493  -999.999  -999.999  -999.999  -999.999
1930    -0.501  -999.999  -999.999  -999.999  -999.999
1931    -0.521  -999.999  -999.999  -999.999  -999.999
1932    -0.495  -999.999  -999.999  -999.999  -999.999
1933    -0.492  -999.999  -999.999  -999.999  -999.999
1934    -0.480  -999.999  -999.999  -999.999  -999.999
1935    -0.440  -999.999  -999.999  -999.999  -999.999
1936    -0.422  -999.999  -999.999  -999.999  -999.999
1937    -0.488  -999.999  -999.999  -999.999  -999.999
1938    -0.450  -999.999  -999.999  -999.999  -999.999
1939    -0.394  -999.999  -999.999  -999.999  -999.999
1940    -0.433  -999.999  -999.999  -999.999  -999.999
1941    -0.400  -999.999  -999.999  -999.999  -999.999
1942    -0.405  -999.999  -999.999  -999.999  -999.999
1943    -0.416  -999.999  -999.999  -999.999  -999.999
1944    -0.436  -999.999  -999.999  -999.999  -999.999
1945    -0.374  -999.999  -999.999  -999.999  -999.999
1946    -0.422  -999.999  -999.999  -999.999  -999.999
1947    -0.415  -999.999  -999.999  -999.999  -999.999
1948    -0.360  -999.999  -999.999  -999.999  -999.999
1949    -0.399  -999.999  -999.999  -999.999  -999.999
1950    -0.361  -999.999  -999.999  -999.999  -999.999
1951    -0.351  -999.999  -999.999  -999.999  -999.999
1952    -0.366  -999.999  -999.999  -999.999  -999.999
1953    -0.365  -999.999  -999.999  -999.999  -999.999
1954    -0.351  -999.999  -999.999  -999.999  -999.999
1955    -0.317  -999.999  -999.999  -999.999  -999.999
1956    -0.306  -999.999  -999.999  -999.999  -999.999
1957    -0.323  -999.999  -999.999  -999.999  -999.999
1958    -0.305  -999.999  -999.999  -999.999  -999.999
1959    -0.310  -999.999  -999.999  -999.999  -999.999
1960    -0.334  -999.999  -999.999  -999.999  -999.999
1961    -0.318  -999.999  -999.999  -999.999  -999.999
1962    -0.339  -999.999  -999.999  -999.999  -999.999
1963    -0.382  -999.999  -999.999  -999.999  -999.999
1964    -0.425  -999.999  -999.999  -999.999  -999.999
1965    -0.434  -999.999  -999.999  -999.999  -999.999
1966    -0.407  -999.999  -999.999  -999.999  -999.999
1967    -0.337  -999.999  -999.999  -999.999  -999.999
1968    -0.335  -999.999  -999.999  -999.999  -999.999
1969    -0.358  -999.999  -999.999  -999.999  -999.999
1970    -0.322  -999.999  -999.999  -999.999  -999.999
1971    -0.306  -999.999  -999.999  -999.999  -999.999
1972    -0.269  -999.999  -999.999  -999.999  -999.999
1973    -0.287  -999.999  -999.999  -999.999  -999.999
1974    -0.257  -999.999  -999.999  -999.999  -999.999
1975    -0.272  -999.999  -999.999  -999.999  -999.999
1976    -0.262  -999.999  -999.999  -999.999  -999.999
1977    -0.162  -999.999  -999.999  -999.999  -999.999
1978    -0.158  -999.999  -999.999  -999.999  -999.999
1979    -0.180  -999.999  -999.999  -999.999  -999.999
1980    -0.124  -999.999  -999.999  -999.999  -999.999
1981    -0.088  -999.999  -999.999  -999.999  -999.999
1982    -0.138  -999.999  -999.999  -999.999  -999.999
1983    -0.197  -999.999  -999.999  -999.999  -999.999
1984    -0.161  -999.999  -999.999  -999.999  -999.999
1985    -0.129  -999.999  -999.999  -999.999  -999.999
