,,,,,,Temperature [degree C],,,,,Precipitation [%],,,,,
Scenario, Region, Region Label, Mask, Season, Year, Min, 25th percentile, median, 75th percentile, Max, Min, 25th percentile, median, 75th percentile, Max,
rcp26,Africa: Sahara, SAH, land,Annual,2035,0.6,0.8,0.9,1.1,1.6,-17,-5,2,9,36,
rcp26,Africa: Sahara, SAH, land,Annual,2065,0.5,1.1,1.2,1.5,2.3,-26,-6,6,13,44,
rcp26,Africa: Sahara, SAH, land,Annual,2100,-0.1,0.9,1.1,1.5,2.4,-36,-4,1,11,61,
rcp26,Africa: Sahara, SAH, land,BW,2035,0.1,0.7,0.9,1.0,1.3,-37,-6,2,8,77,
rcp26,Africa: Sahara, SAH, land,BW,2065,0.4,1.0,1.3,1.5,1.8,-27,-11,-3,12,74,
rcp26,Africa: Sahara, SAH, land,BW,2100,-0.3,0.9,1.2,1.4,1.7,-33,-8,-2,6,90,
rcp26,Africa: Sahara, SAH, land,BS,2035,0.5,0.9,0.9,1.1,2.0,-18,-5,3,11,44,
rcp26,Africa: Sahara, SAH, land,BS,2065,0.7,1.0,1.2,1.7,2.9,-26,-5,6,14,56,
rcp26,Africa: Sahara, SAH, land,BS,2100,0.2,1.0,1.2,1.8,3.0,-41,-4,4,13,60,
rcp26,Antarctica (land), ANT, land,Annual,2035,0.0,0.5,0.6,0.9,1.4,-1,2,3,6,10,
rcp26,Antarctica (land), ANT, land,Annual,2065,-0.3,0.6,0.8,1.3,1.8,-5,2,4,8,11,
rcp26,Antarctica (land), ANT, land,Annual,2100,-0.3,0.7,0.9,1.3,2.2,-5,3,5,6,14,
rcp26,Antarctica (land), ANT, land,BW,2035,0.1,0.4,0.6,0.8,1.2,-3,1,2,5,7,
rcp26,Antarctica (land), ANT, land,BW,2065,-0.3,0.6,0.9,1.2,1.8,-9,1,3,6,11,
rcp26,Antarctica (land), ANT, land,BW,2100,0.0,0.6,0.8,1.3,2.1,-6,1,3,5,12,
rcp26,Antarctica (land), ANT, land,BS,2035,-0.3,0.4,0.7,0.9,1.9,0,2,3,6,13,
rcp26,Antarctica (land), ANT, land,BS,2065,-0.5,0.6,0.9,1.4,1.9,-2,3,5,10,12,
rcp26,Antarctica (land), ANT, land,BS,2100,-0.8,0.7,1.0,1.2,2.3,-4,3,6,9,16,
rcp26,Antarctica (sea), ANT, sea,Annual,2035,-0.4,0.2,0.3,0.7,1.3,0,1,2,3,5,
rcp26,Antarctica (sea), ANT, sea,Annual,2065,-0.7,0.3,0.5,1.0,1.5,-1,2,3,4,8,
rcp26,Antarctica (sea), ANT, sea,Annual,2100,-0.7,0.4,0.6,1.2,1.8,-1,1,3,4,7,
rcp26,Antarctica (sea), ANT, sea,BW,2035,-0.2,0.1,0.2,0.5,0.7,-1,1,2,3,5,
rcp26,Antarctica (sea), ANT, sea,BW,2065,-0.5,0.3,0.5,0.7,1.0,-1,1,3,4,7,
rcp26,Antarctica (sea), ANT, sea,BW,2100,-0.3,0.3,0.5,0.8,1.2,-2,1,2,3,7,
rcp26,Antarctica (sea), ANT, sea,BS,2035,-0.6,0.3,0.4,0.9,2.0,0,1,2,3,5,
rcp26,Antarctica (sea), ANT, sea,BS,2065,-1.1,0.4,0.7,1.3,2.2,-1,2,3,5,9,
rcp26,Antarctica (sea), ANT, sea,BS,2100,-1.2,0.3,0.7,1.6,2.3,-1,2,3,5,8,
rcp26,Arctic (land), ARC, land,Annual,2035,0.3,1.1,1.4,1.8,3.4,1,4,6,8,20,
rcp26,Arctic (land), ARC, land,Annual,2065,-1.1,1.7,2.1,2.7,5.5,-3,7,9,11,31,
rcp26,Arctic (land), ARC, land,Annual,2100,-2.9,1.4,1.9,2.8,5.6,-8,6,9,11,34,
rcp26,Arctic (land), ARC, land,BW,2035,0.5,1.2,1.8,2.1,3.8,1,5,8,12,18,
rcp26,Arctic (land), ARC, land,BW,2065,-1.2,2.0,2.6,3.2,6.5,-4,10,12,18,32,
rcp26,Arctic (land), ARC, land,BW,2100,-3.9,1.9,2.5,3.3,6.7,-11,9,12,18,36,
rcp26,Arctic (land), ARC, land,BS,2035,0.3,0.7,1.0,1.5,2.6,0,3,5,7,21,
rcp26,Arctic (land), ARC, land,BS,2065,-0.2,0.9,1.2,2.1,4.1,-1,5,7,10,31,
rcp26,Arctic (land), ARC, land,BS,2100,-1.1,0.7,1.0,2.2,4.4,-4,4,6,10,33,
