n, T, pr, stat, Scenario, Region, Label, Mask, Season, Year,
0,0.6,-17,Min,rcp26,Africa: Sahara, SAH, land,Annual,2035,
1,0.8,-5,25th percentile,rcp26,Africa: Sahara, SAH, land,Annual,2035,
2,0.9,2,median,rcp26,Africa: Sahara, SAH, land,Annual,2035,
3,1.1,9,75th percentile,rcp26,Africa: Sahara, SAH, land,Annual,2035,
4,1.6,36,Max,rcp26,Africa: Sahara, SAH, land,Annual,2035,
5,0.5,-26,Min,rcp26,Africa: Sahara, SAH, land,Annual,2065,
6,1.1,-6,25th percentile,rcp26,Africa: Sahara, SAH, land,Annual,2065,
7,1.2,6,median,rcp26,Africa: Sahara, SAH, land,Annual,2065,
8,1.5,13,75th percentile,rcp26,Africa: Sahara, SAH, land,Annual,2065,
9,2.3,44,Max,rcp26,Africa: Sahara, SAH, land,Annual,2065,
10,-0.1,-36,Min,rcp26,Africa: Sahara, SAH, land,Annual,2100,
11,0.9,-4,25th percentile,rcp26,Africa: Sahara, SAH, land,Annual,2100,
12,1.1,1,median,rcp26,Africa: Sahara, SAH, land,Annual,2100,
13,1.5,11,75th percentile,rcp26,Africa: Sahara, SAH, land,Annual,2100,
14,2.4,61,Max,rcp26,Africa: Sahara, SAH, land,Annual,2100,
15,0.1,-37,Min,rcp26,Africa: Sahara, SAH, land,BW,2035,
16,0.7,-6,25th percentile,rcp26,Africa: Sahara, SAH, land,BW,2035,
17,0.9,2,median,rcp26,Africa: Sahara, SAH, land,BW,2035,
18,1.0,8,75th percentile,rcp26,Africa: Sahara, SAH, land,BW,2035,
19,1.3,77,Max,rcp26,Africa: Sahara, SAH, land,BW,2035,
20,0.4,-27,Min,rcp26,Africa: Sahara, SAH, land,BW,2065,
21,1.0,-11,25th percentile,rcp26,Africa: Sahara, SAH, land,BW,2065,
22,1.3,-3,median,rcp26,Africa: Sahara, SAH, land,BW,2065,
23,1.5,12,75th percentile,rcp26,Africa: Sahara, SAH, land,BW,2065,
24,1.8,74,Max,rcp26,Africa: Sahara, SAH, land,BW,2065,
25,-0.3,-33,Min,rcp26,Africa: Sahara, SAH, land,BW,2100,
26,0.9,-8,25th percentile,rcp26,Africa: Sahara, SAH, land,BW,2100,
27,1.2,-2,median,rcp26,Africa: Sahara, SAH, land,BW,2100,
28,1.4,6,75th percentile,rcp26,Africa: Sahara, SAH, land,BW,2100,
29,1.7,90,Max,rcp26,Africa: Sahara, SAH, land,BW,2100,
30,0.5,-18,Min,rcp26,Africa: Sahara, SAH, land,BS,2035,
31,0.9,-5,25th percentile,rcp26,Africa: Sahara, SAH, land,BS,2035,
32,0.9,3,median,rcp26,Africa: Sahara, SAH, land,BS,2035,
33,1.1,11,75th percentile,rcp26,Africa: Sahara, SAH, land,BS,2035,
34,2.0,44,Max,rcp26,Africa: Sahara, SAH, land,BS,2035,
35,0.7,-26,Min,rcp26,Africa: Sahara, SAH, land,BS,2065,
36,1.0,-5,25th percentile,rcp26,Africa: Sahara, SAH, land,BS,2065,
37,1.2,6,median,rcp26,Africa: Sahara, SAH, land,BS,2065,
38,1.7,14,75th percentile,rcp26,Africa: Sahara, SAH, land,BS,2065,
39,2.9,56,Max,rcp26,Africa: Sahara, SAH, land,BS,2065,
40,0.2,-41,Min,rcp26,Africa: Sahara, SAH, land,BS,2100,
41,1.0,-4,25th percentile,rcp26,Africa: Sahara, SAH, land,BS,2100,
42,1.2,4,median,rcp26,Africa: Sahara, SAH, land,BS,2100,
43,1.8,13,75th percentile,rcp26,Africa: Sahara, SAH, land,BS,2100,
44,3.0,60,Max,rcp26,Africa: Sahara, SAH, land,BS,2100,
45,0.0,-1,Min,rcp26,Antarctica (land), ANT, land,Annual,2035,
46,0.5,2,25th percentile,rcp26,Antarctica (land), ANT, land,Annual,2035,
47,0.6,3,median,rcp26,Antarctica (land), ANT, land,Annual,2035,
48,0.9,6,75th percentile,rcp26,Antarctica (land), ANT, land,Annual,2035,
49,1.4,10,Max,rcp26,Antarctica (land), ANT, land,Annual,2035,
50,-0.3,-5,Min,rcp26,Antarctica (land), ANT, land,Annual,2065,
51,0.6,2,25th percentile,rcp26,Antarctica (land), ANT, land,Annual,2065,
52,0.8,4,median,rcp26,Antarctica (land), ANT, land,Annual,2065,
53,1.3,8,75th percentile,rcp26,Antarctica (land), ANT, land,Annual,2065,
54,1.8,11,Max,rcp26,Antarctica (land), ANT, land,Annual,2065,
55,-0.3,-5,Min,rcp26,Antarctica (land), ANT, land,Annual,2100,
56,0.7,3,25th percentile,rcp26,Antarctica (land), ANT, land,Annual,2100,
57,0.9,5,median,rcp26,Antarctica (land), ANT, land,Annual,2100,
58,1.3,6,75th percentile,rcp26,Antarctica (land), ANT, land,Annual,2100,
59,2.2,14,Max,rcp26,Antarctica (land), ANT, land,Annual,2100,
60,0.1,-3,Min,rcp26,Antarctica (land), ANT, land,BW,2035,
61,0.4,1,25th percentile,rcp26,Antarctica (land), ANT, land,BW,2035,
62,0.6,2,median,rcp26,Antarctica (land), ANT, land,BW,2035,
63,0.8,5,75th percentile,rcp26,Antarctica (land), ANT, land,BW,2035,
64,1.2,7,Max,rcp26,Antarctica (land), ANT, land,BW,2035,
65,-0.3,-9,Min,rcp26,Antarctica (land), ANT, land,BW,2065,
66,0.6,1,25th percentile,rcp26,Antarctica (land), ANT, land,BW,2065,
67,0.9,3,median,rcp26,Antarctica (land), ANT, land,BW,2065,
68,1.2,6,75th percentile,rcp26,Antarctica (land), ANT, land,BW,2065,
69,1.8,11,Max,rcp26,Antarctica (land), ANT, land,BW,2065,
70,0.0,-6,Min,rcp26,Antarctica (land), ANT, land,BW,2100,
71,0.6,1,25th percentile,rcp26,Antarctica (land), ANT, land,BW,2100,
72,0.8,3,median,rcp26,Antarctica (land), ANT, land,BW,2100,
73,1.3,5,75th percentile,rcp26,Antarctica (land), ANT, land,BW,2100,
74,2.1,12,Max,rcp26,Antarctica (land), ANT, land,BW,2100,
75,-0.3,0,Min,rcp26,Antarctica (land), ANT, land,BS,2035,
76,0.4,2,25th percentile,rcp26,Antarctica (land), ANT, land,BS,2035,
